to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,front_image,back_image,qr_target,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
Scottsdale Air Heating & Cooling,4747 E Thomas Rd STE F,,Phoenix,AZ,85018,https://demo.buildlocal.agency/m/flyers/scottsdale-air-heating-and-cooling-front.png,https://demo.buildlocal.agency/m/flyers/scottsdale-air-heating-and-cooling-back.png,https://demo.buildlocal.agency/q/hv0007,scottsdale-air-heating-and-cooling,hv0007,hvac,yes
"1st Choice Plumbing, Air & Insulation",23309 N 17th Dr STE 116,,Phoenix,AZ,85027,https://demo.buildlocal.agency/m/flyers/1st-choice-plumbing-air-and-insulation-front.png,https://demo.buildlocal.agency/m/flyers/1st-choice-plumbing-air-and-insulation-back.png,https://demo.buildlocal.agency/q/hv0008,1st-choice-plumbing-air-and-insulation,hv0008,hvac,yes
AZ Perfect Comfort Heating & Cooling,20650 N 29th Pl STE 104,,Phoenix,AZ,85050,https://demo.buildlocal.agency/m/flyers/az-perfect-comfort-heating-and-cooling-front.png,https://demo.buildlocal.agency/m/flyers/az-perfect-comfort-heating-and-cooling-back.png,https://demo.buildlocal.agency/q/hv0009,az-perfect-comfort-heating-and-cooling,hv0009,hvac,yes
Hobaica Services,10636 N Cave Creek Rd,,Phoenix,AZ,85020,https://demo.buildlocal.agency/m/flyers/hobaica-services-front.png,https://demo.buildlocal.agency/m/flyers/hobaica-services-back.png,https://demo.buildlocal.agency/q/hv0010,hobaica-services,hv0010,hvac,yes
Cool Zone Air Conditioning & Heating,2329 W Mescal St Suite 308,,Phoenix,AZ,85029,https://demo.buildlocal.agency/m/flyers/cool-zone-air-conditioning-and-heating-front.png,https://demo.buildlocal.agency/m/flyers/cool-zone-air-conditioning-and-heating-back.png,https://demo.buildlocal.agency/q/hv0011,cool-zone-air-conditioning-and-heating,hv0011,hvac,yes
Benefit Air Conditioning,1315 W Indian School Rd,,Phoenix,AZ,85013,https://demo.buildlocal.agency/m/flyers/benefit-air-conditioning-front.png,https://demo.buildlocal.agency/m/flyers/benefit-air-conditioning-back.png,https://demo.buildlocal.agency/q/hv0012,benefit-air-conditioning,hv0012,hvac,yes
"John's Heating, Cooling, and Plumbing",211 E 10th Dr #2,,Mesa,AZ,85210,https://demo.buildlocal.agency/m/flyers/john-s-heating-cooling-and-plumbing-front.png,https://demo.buildlocal.agency/m/flyers/john-s-heating-cooling-and-plumbing-back.png,https://demo.buildlocal.agency/q/hv0013,john-s-heating-cooling-and-plumbing,hv0013,hvac,yes
ASAP Air Conditioning And Heating,3653 E Main St,,Mesa,AZ,85205,https://demo.buildlocal.agency/m/flyers/asap-air-conditioning-and-heating-front.png,https://demo.buildlocal.agency/m/flyers/asap-air-conditioning-and-heating-back.png,https://demo.buildlocal.agency/q/hv0014,asap-air-conditioning-and-heating,hv0014,hvac,yes
Norris Air,3841 E Main St,,Mesa,AZ,85205,https://demo.buildlocal.agency/m/flyers/norris-air-front.png,https://demo.buildlocal.agency/m/flyers/norris-air-back.png,https://demo.buildlocal.agency/q/hv0015,norris-air,hv0015,hvac,yes
HVAC Mesa,1818 E Southern Ave,,Mesa,AZ,85204,https://demo.buildlocal.agency/m/flyers/hvac-mesa-front.png,https://demo.buildlocal.agency/m/flyers/hvac-mesa-back.png,https://demo.buildlocal.agency/q/hv0016,hvac-mesa,hv0016,hvac,yes
